xmin,ymin,xmax,ymax,label,complete,remove,image_path,annotator
5.0,134.0,141.0,292.0,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
143.0,194.0,270.0,317.0,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
82.0,330.0,266.0,530.0,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
270.0,356.99999999999994,474.0,542.0,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
703.0,276.0,851.0,390.0,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
574.0,284.0,689.0,398.0,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
759.0,430.0,832.0,511.0,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
530.0,394.0,643.0,499.0,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
32.0,551.0,227.99999999999997,788.0,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
198.99999999999997,603.0,382.0,765.0,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
273.99999999999994,523.9999999999999,425.99999999999994,664.9999999999999,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
397.0,636.0,493.0,730.0,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
499.0,553.0,612.0,651.0,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
505.0,636.0,647.0,757.0,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
399.0,776.0,651.0,988.0,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
257.0,778.0000000000001,403.0,996.0000000000001,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
89.0,783.9999999999999,274.0,985.9999999999999,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
16.0,987.9999999999999,205.0,1173.0,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
170.0,999.0,399.0,1226.0,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
400.99999999999994,972.9999999999999,578.0,1119.0,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
592.0,936.0,756.0,1105.0,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
678.0,807.0,826.0,955.0,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
703.0,544.0,795.0,657.0,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
664.0,649.0,784.0,757.0,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
876.0,380.00000000000006,1043.0,553.0,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
876.0,573.0,995.0,694.0,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
818.0,665.0,930.0,788.0,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
969.9999999999999,626.0,1157.0,788.0,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
1014.0000000000001,782.0,1253.0,982.0,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
879.0,921.0,1072.0,1135.0,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
265.0,1161.0,561.0,1442.0,tree,,,B02_0122.JPG,"Brier Klossing b.klossing@ufl.edu, 20"
