xmin,ymin,xmax,ymax,label,complete,remove,image_path,annotator
114.99999999999999,160.0,168.0,213.0,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
206.99999999999997,348.0,233.99999999999997,375.0,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
259.0,0.0,285.0,28.999999999999996,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
171.0,254.0,202.0,291.0,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
272.0,325.0,296.0,352.0,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
81.0,93.0,132.0,169.0,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
86.0,181.0,117.0,219.0,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
219.0,172.0,271.0,223.0,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
209.0,223.0,256.0,276.0,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
0.0,324.0,51.0,393.0,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
10.0,393.0,45.0,400.0,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
217.00000000000003,373.0000000000001,272.3181818181818,399.99999999999994,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
227.99999999999997,37.0,253.99999999999997,65.0,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
172.0000000000001,291.9999999999996,214.34090909090904,336.8863636363635,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
119.75000000000007,268.4545454545455,172.20454545454544,329.47727272727275,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
61.0,365.0,102.0,400.0,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
145.0,335.0,198.0,379.0,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
8.0,172.0,56.0,213.0,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
369.0,346.0,400.0,400.0,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
157.0,395.0,193.0,400.0,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
263.0,283.0,323.0,320.0,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
302.0,322.0,340.0,361.0,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
317.0,171.0,358.0,223.0,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
297.0,236.0,329.0,277.0,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
281.0,121.0,318.0,159.0,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
282.0,200.0,315.0,247.0,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
292.0,0.0,324.0,16.0,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
313.0,94.0,346.0,123.0,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
219.0,172.0,271.0,223.0,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
209.0,223.0,256.0,276.0,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
229.0,0.0,264.0,28.999999999999996,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
175.5681818181818,93.75,231.24999999999997,141.47727272727275,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
159.6590909090909,134.6590909090909,202.27272727272728,173.29545454545453,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
267.6136363636364,39.77272727272727,312.5,78.97727272727273,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
242.61363636363637,72.1590909090909,276.7045454545455,102.27272727272727,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
392.04545454545456,2.272727272727273,400.0,16.477272727272727,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
1.7045454545454544,14.772727272727273,39.20454545454545,134.0909090909091,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
162.5,209.0909090909091,215.34090909090912,271.5909090909091,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
153.97727272727272,44.88636363636363,215.9090909090909,102.27272727272727,tree,,,2018_TEAK_3_315000_4094000_image_crop_232.png,"Brier Klossing b.klossing@ufl.edu, 20"
361.0,10.0,400.0,57.0,tree,,,2019_OSBS_5_405000_3287000_image_crop2_44.png,"Brier Klossing b.klossing@ufl.edu, 20"
307.0,151.0,343.0,181.0,tree,,,2019_OSBS_5_405000_3287000_image_crop2_44.png,"Brier Klossing b.klossing@ufl.edu, 20"
233.0,164.0,271.0,200.0,tree,,,2019_OSBS_5_405000_3287000_image_crop2_44.png,"Brier Klossing b.klossing@ufl.edu, 20"
289.0,55.00000000000001,305.0,76.0,tree,,,2019_OSBS_5_405000_3287000_image_crop2_44.png,"Brier Klossing b.klossing@ufl.edu, 20"
303.0,72.0,334.0,106.0,tree,,,2019_OSBS_5_405000_3287000_image_crop2_44.png,"Brier Klossing b.klossing@ufl.edu, 20"
273.0,147.0,302.0,174.0,tree,,,2019_OSBS_5_405000_3287000_image_crop2_44.png,"Brier Klossing b.klossing@ufl.edu, 20"
364.0,148.0,398.0,189.0,tree,,,2019_OSBS_5_405000_3287000_image_crop2_44.png,"Brier Klossing b.klossing@ufl.edu, 20"
257.0,81.0,284.0,106.0,tree,,,2019_OSBS_5_405000_3287000_image_crop2_44.png,"Brier Klossing b.klossing@ufl.edu, 20"
